Monitoraggio ID,KPI,Valore (PV) (€),Data rilevazione,Stato dell'Attività,Actual Cost,Attività,Peso Relativo WP,Budget Attività (€),Peso Attività (%),Planned Start,Planned Finish,Giorni per Attività,Giorni trascorsi,Percentuale completa (%),Stato dell'attività (%),Work Package,Programma,Progetto
Actual Cost (13/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Actual Cost,460,13/11/2023,,460,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,6,0.21,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.3.2 DB creation of under-represented groups,Planned Value,0,13/11/2023,,,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.3.2 DB creation of under-represented groups,Earned Value,0,13/11/2023,Da iniziare,,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,0,0.00,0.00,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.3.2 DB creation of under-represented groups,Actual Cost,0,13/11/2023,,0,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.3.3 Define worshop concepts,Planned Value,1043,13/11/2023,,,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,41,0.61,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.3.3 Define worshop concepts,Earned Value,426,13/11/2023,Appena iniziata,,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,41,0.61,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.3.3 Define worshop concepts,Actual Cost,300,13/11/2023,,300,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,41,0.61,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.3.4 Interview groups,Planned Value,462,13/11/2023,,,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,17,0.18,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.3.4 Interview groups,Earned Value,0,13/11/2023,Da iniziare,,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,17,0.18,0.00,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.3.4 Interview groups,Actual Cost,900,13/11/2023,,900,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,17,0.18,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.3.5 Public the tender for workshop services,Planned Value,0,13/11/2023,,,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.3.5 Public the tender for workshop services,Earned Value,0,13/11/2023,Da iniziare,,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,0.00,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.3.5 Public the tender for workshop services,Actual Cost,0,13/11/2023,,0,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (13/11/2023) 1.3.6 Ultimate the workshop series,Planned Value,525,13/11/2023,,,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,35,0.15,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (13/11/2023) 1.3.6 Ultimate the workshop series,Earned Value,0,13/11/2023,Da iniziare,,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,35,0.15,0.00,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (13/11/2023) 1.3.6 Ultimate the workshop series,Actual Cost,200,13/11/2023,,200,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,35,0.15,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.1.1 Define mapping scope,Planned Value,492,20/11/2023,,,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,91,0.87,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.1.1 Define mapping scope,Earned Value,284,20/11/2023,A metà,,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,91,0.87,0.50,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.1.1 Define mapping scope,Actual Cost,300,20/11/2023,,300,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,91,0.87,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.1.2 Define mapping use cases,Planned Value,489,20/11/2023,,,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,80,0.86,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.1.2 Define mapping use cases,Earned Value,284,20/11/2023,A metà,,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,80,0.86,0.50,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.1.2 Define mapping use cases,Actual Cost,200,20/11/2023,,200,1.1.2 Define mapping use cases,"0,11",568,"0,22",1/9/2023,3/12/2023,93,80,0.86,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.1.3 Map development,Planned Value,225,20/11/2023,,,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,19,0.20,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.1.3 Map development,Earned Value,568,20/11/2023,A metà,,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,19,0.20,0.50,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.1.3 Map development,Actual Cost,400,20/11/2023,,400,1.1.3 Map development,"0,11",1136,"0,44",1/11/2023,5/2/2024,96,19,0.20,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.1.4 Publish the mapping,Planned Value,0,20/11/2023,,,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.1.4 Publish the mapping,Earned Value,0,20/11/2023,Da iniziare,,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,0.00,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.1.4 Publish the mapping,Actual Cost,0,20/11/2023,,0,1.1.4 Publish the mapping,"0,11",284,"0,11",28/11/2023,22/3/2024,115,0,0.00,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.2.1 Define knowledge-map scope,Planned Value,1278,20/11/2023,,,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,111,0.75,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.2.1 Define knowledge-map scope,Earned Value,426,20/11/2023,Appena iniziata,,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,111,0.75,0.25,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.2.1 Define knowledge-map scope,Actual Cost,1200,20/11/2023,,1200,1.2.1 Define knowledge-map scope,"0,33",1704,"0,22",1/8/2023,27/12/2023,148,111,0.75,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.2.2 Literature review of indigenous knowledge,Planned Value,2142,20/11/2023,,,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,66,0.63,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.2.2 Literature review of indigenous knowledge,Earned Value,1704,20/11/2023,A metà,,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,66,0.63,0.50,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.2.2 Literature review of indigenous knowledge,Actual Cost,1500,20/11/2023,,1500,1.2.2 Literature review of indigenous knowledge,"0,33",3407,"0,44",15/9/2023,29/12/2023,105,66,0.63,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.2.3 Define knowledge-map use cases,Planned Value,301,20/11/2023,,,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,6,0.18,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.2.3 Define knowledge-map use cases,Earned Value,0,20/11/2023,Da iniziare,,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,6,0.18,0.00,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.2.3 Define knowledge-map use cases,Actual Cost,0,20/11/2023,,0,1.2.3 Define knowledge-map use cases,"0,33",1704,"0,22",14/11/2023,18/12/2023,34,6,0.18,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.2.4 Publish the knowledge map,Planned Value,96,20/11/2023,,,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,19,0.11,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.2.4 Publish the knowledge map,Earned Value,0,20/11/2023,Da iniziare,,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,19,0.11,0.00,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.2.4 Publish the knowledge map,Actual Cost,200,20/11/2023,,200,1.2.4 Publish the knowledge map,"0,33",852,"0,11",1/11/2023,18/4/2024,169,19,0.11,,1.2 Document and preserve the knowledge of indigenous peoples,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Planned Value,764,20/11/2023,,,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,13,0.45,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Earned Value,426,20/11/2023,Appena iniziata,,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,13,0.45,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.3.1 Develop a strategy on how to encourage participation,Actual Cost,900,20/11/2023,,900,1.3.1 Develop a strategy on how to encourage participation,"0,56",1704,"0,13",7/11/2023,6/12/2023,29,13,0.45,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.3.2 DB creation of under-represented groups,Planned Value,269,20/11/2023,,,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,4,0.11,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.3.2 DB creation of under-represented groups,Earned Value,639,20/11/2023,Appena iniziata,500,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,4,0.11,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.3.2 DB creation of under-represented groups,Actual Cost,,20/11/2023,,,1.3.2 DB creation of under-represented groups,"0,56",2556,"0,20",16/11/2023,24/12/2023,38,4,0.11,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.3.3 Define worshop concepts,Planned Value,1221,20/11/2023,,,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,48,0.72,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.3.3 Define worshop concepts,Earned Value,852,20/11/2023,A metà,,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,48,0.72,0.50,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.3.3 Define worshop concepts,Actual Cost,700,20/11/2023,,700,1.3.3 Define worshop concepts,"0,56",1704,"0,13",3/10/2023,9/12/2023,67,48,0.72,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.3.4 Interview groups,Planned Value,652,20/11/2023,,,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,24,0.26,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.3.4 Interview groups,Earned Value,639,20/11/2023,Appena iniziata,,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,24,0.26,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.3.4 Interview groups,Actual Cost,900,20/11/2023,,900,1.3.4 Interview groups,"0,56",2556,"0,20",27/10/2023,29/1/2024,94,24,0.26,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.3.5 Public the tender for workshop services,Planned Value,0,20/11/2023,,,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.3.5 Public the tender for workshop services,Earned Value,0,20/11/2023,Da iniziare,,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,0.00,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.3.5 Public the tender for workshop services,Actual Cost,0,20/11/2023,,0,1.3.5 Public the tender for workshop services,"0,56",852,"0,07",27/11/2023,12/12/2023,15,0,0.00,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (20/11/2023) 1.3.6 Ultimate the workshop series,Planned Value,630,20/11/2023,,,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,42,0.19,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Earned Value (20/11/2023) 1.3.6 Ultimate the workshop series,Earned Value,852,20/11/2023,Appena iniziata,,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,42,0.19,0.25,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Actual Cost (20/11/2023) 1.3.6 Ultimate the workshop series,Actual Cost,500,20/11/2023,,500,1.3.6 Ultimate the workshop series,"0,56",3407,"0,27",9/10/2023,23/5/2024,227,42,0.19,,1.3 Encourage the participation of under-represented groups in marine science and management,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
Planned Value (27/11/2023) 1.1.1 Define mapping scope,Planned Value,530,27/11/2023,,,1.1.1 Define mapping scope,"0,11",568,"0,22",21/8/2023,4/12/2023,105,98,0.93,,1.1 Create a dispersed network of community observers and citizen scientists,1 Global Estuaries Monitoring,1. Estuarine Ecological Knowledge Network
